,Unnamed: 0.1,High,Low,Close,Volume,Next Day Close,Difference,ClassLabel
0,2001-01-02,5.78125,4.71875,5.125,5006600.0,6.5,-1.375,1
1,2001-01-03,7.125,4.875,6.5,4587400.0,7.375,-0.875,1
2,2001-01-04,7.375,6.125,7.375,2925800.0,5.84375,1.53125,0
3,2001-01-05,7.125,5.78125,5.84375,2136600.0,5.40625,0.4375,0
4,2001-01-08,5.78125,5.28125,5.40625,1051200.0,5.625,-0.21875,1
5,2001-01-09,5.90625,5.4375,5.625,1892200.0,5.53125,0.09375,0
6,2001-01-10,5.625,5.28125,5.53125,1608800.0,5.96875,-0.4375,1
7,2001-01-11,6.375,5.3125,5.96875,3142800.0,6.0,-0.03125,1
8,2001-01-12,6.34375,5.625,6.0,1830800.0,6.03125,-0.03125,1
9,2001-01-16,6.40625,5.75,6.03125,1027600.0,6.4375,-0.40625,1
10,2001-01-17,7.1875,6.3125,6.4375,2763400.0,6.5,-0.0625,1
11,2001-01-18,6.625,6.3125,6.5,1330000.0,6.0625,0.4375,0
12,2001-01-19,6.84375,6.03125,6.0625,1450200.0,6.125,-0.0625,1
13,2001-01-22,6.4375,5.8125,6.125,790000.0,6.28125,-0.15625,1
14,2001-01-23,6.5625,6.03125,6.28125,1224000.0,6.78125,-0.5,1
15,2001-01-24,7.0,6.40625,6.78125,2385400.0,8.34375,-1.5625,1
16,2001-01-25,8.5,6.5625,8.34375,6345400.0,7.75,0.59375,0
17,2001-01-26,8.25,7.53125,7.75,2143400.0,7.78125,-0.03125,1
18,2001-01-29,8.03125,7.53125,7.78125,1333400.0,7.8125,-0.03125,1
19,2001-01-30,8.3125,7.8125,7.8125,2132800.0,8.5,-0.6875,1
20,2001-01-31,8.90625,7.78125,8.5,2803800.0,7.8125,0.6875,0
21,2001-02-01,8.4375,7.75,7.8125,766000.0,7.03125,0.78125,0
22,2001-02-02,8.125,7.0,7.03125,925400.0,6.8125,0.21875,0
23,2001-02-05,6.96875,6.3125,6.8125,840200.0,6.9375,-0.125,1
24,2001-02-06,7.335938,6.53125,6.9375,564800.0,6.53125,0.40625,0
25,2001-02-07,6.84375,6.1875,6.53125,808600.0,6.40625,0.125,0
26,2001-02-08,6.9375,6.25,6.40625,409200.0,6.21875,0.1875,0
27,2001-02-09,6.5,5.75,6.21875,657400.0,6.0,0.21875,0
28,2001-02-12,6.125,5.6875,6.0,706800.0,5.5625,0.4375,0
29,2001-02-13,6.3125,5.40625,5.5625,714200.0,5.4375,0.125,0
30,2001-02-14,5.8125,5.125,5.4375,983400.0,5.65625,-0.21875,1
31,2001-02-15,5.875,5.53125,5.65625,672600.0,5.21875,0.4375,0
32,2001-02-16,5.5,4.9375,5.21875,1013200.0,4.8125,0.40625,0
33,2001-02-20,5.3125,4.6875,4.8125,642600.0,4.4375,0.375,0
34,2001-02-21,4.84375,4.1875,4.4375,1203600.0,4.09375,0.34375,0
35,2001-02-22,4.4375,4.0,4.09375,1263600.0,4.125,-0.03125,1
36,2001-02-23,4.25,3.828125,4.125,1044400.0,4.1875,-0.0625,1
37,2001-02-26,4.3125,4.0,4.1875,729600.0,3.890625,0.296875,0
38,2001-02-27,4.25,3.875,3.890625,874600.0,3.484375,0.40625,0
39,2001-02-28,4.046875,3.34375,3.484375,946800.0,3.875,-0.390625,1
40,2001-03-01,3.90625,3.125,3.875,835800.0,3.8125,0.0625,0
41,2001-03-02,4.09375,3.5,3.8125,1259800.0,3.40625,0.40625,0
42,2001-03-05,3.75,3.3125,3.40625,765600.0,3.859375,-0.453125,1
43,2001-03-06,3.875,3.53125,3.859375,1093000.0,3.78125,0.078125,0
44,2001-03-07,4.0,3.65625,3.78125,330400.0,3.515625,0.265625,0
45,2001-03-08,3.921875,3.5,3.515625,349000.0,3.25,0.265625,0
46,2001-03-09,3.421875,3.25,3.25,455200.0,2.84375,0.40625,0
47,2001-03-12,3.1875,2.84375,2.84375,673600.0,3.0,-0.15625,1
48,2001-03-13,3.0625,2.75,3.0,730000.0,2.9375,0.0625,0
49,2001-03-14,3.15625,2.78125,2.9375,648400.0,2.78125,0.15625,0
