,Unnamed: 0.1,High,Low,Close,Volume,Next Day Close,Difference,ClassLabel
0,2001-01-02,31.285662,30.535662,31.160662,4267800,29.346237,1.814425,0
1,2001-01-03,32.221237,29.221237,29.346237,7189400,28.005159000000006,1.3410779999999924,0
2,2001-01-04,30.130159000000006,26.880159000000006,28.005159000000006,12373700,28.596821,-0.5916619999999924,1
3,2001-01-05,29.221821,27.659321,28.596821,5041900,29.070141,-0.4733200000000011,1
4,2001-01-08,29.507641,28.257641,29.070141,3755700,29.50403,-0.43388900000000064,1
5,2001-01-09,29.94153,28.69153,29.50403,3427400,29.030687,0.47334299999999985,0
6,2001-01-10,29.843187,28.780687,29.030687,4079800,29.070141,-0.03945399999999921,1
7,2001-01-11,29.507641,28.382641,29.070141,3499800,28.833477,0.2366640000000011,0
8,2001-01-12,29.270977,28.520977,28.833477,3084900,28.991238,-0.1577610000000007,1
9,2001-01-16,29.178738,28.428738,28.991238,3153700,28.636259000000006,0.35497899999999305,0
10,2001-01-17,29.511259000000006,28.386259000000006,28.636259000000006,4190400,28.399603000000006,0.23665599999999998,0
11,2001-01-18,29.149603000000006,28.399603000000006,28.399603000000006,3635800,27.650167,0.7494360000000064,0
12,2001-01-19,28.712667,27.462667,27.650167,4159100,27.650167,0.0,1
13,2001-01-22,27.900167,26.837667,27.650167,2606000,27.255726,0.3944410000000005,0
14,2001-01-23,28.380726,26.693226,27.255726,6121000,26.97962,0.27610599999999863,0
15,2001-01-24,27.85462,26.47962,26.97962,5642400,27.610725,-0.631104999999998,1
16,2001-01-25,27.798225,26.110725,27.610725,5997200,27.807934000000003,-0.1972090000000044,1
17,2001-01-26,28.620434000000003,27.495434000000003,27.807934000000003,4612700,27.547606,0.2603280000000048,0
18,2001-01-29,28.397604,27.427603,27.547606,3283100,28.096668,-0.5490620000000028,1
19,2001-01-30,28.286667,26.776669,28.096668,4041500,27.812664,0.2840039999999995,0
20,2001-01-31,28.592662,27.272663,27.812664,5223500,27.56023,0.25243400000000094,0
21,2001-02-01,27.960232,26.640232,27.56023,4880300,28.393297,-0.8330669999999998,1
22,2001-02-02,28.403295,26.603296000000004,28.393297,5717500,28.380665000000004,0.012631999999996424,0
23,2001-02-05,28.660664,27.660664,28.380665000000004,5261000,28.563692,-0.1830269999999956,1
24,2001-02-06,28.953696,28.203696,28.563692,4030300,29.6555,-1.0918080000000003,1
25,2001-02-07,30.145498,28.015496,29.6555,6422400,29.567139,0.08836099999999902,0
26,2001-02-08,29.717141,28.967141,29.567139,4430000,29.156918,0.41022099999999995,0
27,2001-02-09,30.156918,28.976917,29.156918,2423100,29.630259,-0.4733409999999978,1
28,2001-02-12,29.780256,28.730257,29.630259,3360200,29.756468,-0.1262090000000029,1
29,2001-02-13,29.776464,28.616464,29.756468,3565900,29.472466,0.284002000000001,0
30,2001-02-14,30.122463,29.112465000000004,29.472466,3602800,29.567139,-0.09467300000000023,1
31,2001-02-15,29.567139,28.967141,29.567139,3755700,29.863749,-0.2966099999999976,1
32,2001-02-16,29.983748,29.40375,29.863749,5507700,30.608454,-0.7447049999999997,1
33,2001-02-20,30.898455,29.528452,30.608454,5478600,29.819569,0.788884999999997,0
34,2001-02-21,30.309571,29.469571,29.819569,7446200,29.3778,0.44176900000000074,0
35,2001-02-22,29.907803,28.6278,29.3778,5337600,29.270512,0.1072880000000005,0
36,2001-02-23,29.900509000000003,28.290513,29.270512,4247700,29.207390000000004,0.06312199999999635,0
37,2001-02-26,29.347389,28.467392,29.207390000000004,3083700,29.068573,0.13881700000000308,0
38,2001-02-27,29.648571,28.668572,29.068573,3202800,29.081190000000007,-0.012617000000005874,1
39,2001-02-28,29.471189000000006,28.501188,29.081190000000007,2251300,28.910797,0.1703930000000078,0
40,2001-03-01,29.250798,28.180798,28.910797,3359900,28.304924,0.605872999999999,0
41,2001-03-02,29.314927,28.154927,28.304924,3230200,28.790884,-0.4859599999999986,1
42,2001-03-05,29.010885,28.190885,28.790884,2086800,28.910797,-0.11991300000000038,1
43,2001-03-06,30.100796000000006,28.230796999999995,28.910797,3879400,29.132349,-0.22155200000000264,1
