,Open,High,Low,Close,Volume,Next Day Close,Difference,ClassLabel
0,8.085483,8.144612,7.139409,7.257667999999999,3398400.0,7.156866,0.10080199999999895,0
1,7.275125,7.452514,6.683828999999999,7.156866,2934000.0,6.904862,0.25200400000000034,0
2,7.082250999999999,7.20051,6.431825,6.904862,3240800.0,7.257667999999999,-0.3528059999999993,1
3,7.08028,7.612446,6.96202,7.257667999999999,2231300.0,7.862473,-0.6048050000000007,1
4,7.271177000000001,7.980733,7.271177000000001,7.862473,2178600.0,7.358467999999999,0.5040050000000003,0
5,7.949764,8.068024000000001,7.240208999999999,7.358467999999999,2036000.0,7.509668,-0.15120000000000022,1
6,7.332279,7.627928,7.332279,7.509668,1521200.0,7.257667999999999,0.25200000000000067,0
7,7.848964,7.848964,7.257667999999999,7.257667999999999,1883700.0,7.862473,-0.6048050000000007,1
8,7.271177000000001,7.862473,7.271177000000001,7.862473,2721500.0,8.064074,-0.20160100000000014,1
9,8.064074,8.300592,7.827555,8.064074,2274300.0,7.308066999999999,0.7560070000000003,0
10,8.195012,8.195012,7.130679,7.308066999999999,2870000.0,7.156866,0.15120099999999947,0
11,7.334254,7.511644,6.802088,7.156866,2806800.0,7.308066999999999,-0.15120099999999947,1
12,7.01242,7.367197,6.835031,7.308066999999999,1461600.0,7.45927,-0.15120300000000064,1
13,7.695788,7.873177,7.4001399999999995,7.45927,1361300.0,7.257667999999999,0.20160200000000117,0
14,7.494186999999999,7.553316000000001,6.96202,7.257667999999999,2174300.0,7.308066999999999,-0.05039900000000053,1
15,7.248938000000001,7.367197,7.01242,7.308066999999999,1241800.0,7.560071000000001,-0.2520040000000012,1
16,7.264422,7.737458999999999,7.205292999999999,7.560071000000001,1100600.0,7.509668,0.050403000000001086,0
17,7.568797999999999,7.627928,7.273149,7.509668,681700.0,7.273795,0.23587299999999978,0
18,7.567077,7.604921000000001,7.188648,7.273795,1291400.0,7.112514,0.16128099999999979,0
19,7.169278,7.254425,6.819230999999999,7.112514,1313300.0,6.951233,0.16128099999999979,0
20,7.083683000000001,7.263437,6.9417729999999995,6.951233,1301200.0,7.160900999999999,-0.20966799999999886,1
21,6.858158,7.227125999999999,6.820314999999999,7.160900999999999,816200.0,7.322182000000001,-0.16128100000000156,1
22,7.189732000000001,7.331643,7.1518880000000005,7.322182000000001,992600.0,7.354437,-0.032254999999999256,1
23,7.288212,7.581494,7.250369,7.354437,1369600.0,7.806023,-0.4515859999999998,1
24,7.2573,7.806023,7.191075,7.806023,1747800.0,8.039885,-0.23386200000000024,1
25,7.8033660000000005,8.068267,7.774984,8.039885,2441700.0,7.701191000000001,0.3386939999999994,0
26,8.117463,8.193149,7.672808,7.701191000000001,1837300.0,8.265676,-0.5644849999999986,1
27,7.792639,8.265676,7.707492,8.265676,3818300.0,8.370509,-0.10483300000000106,1
28,8.342125999999999,8.370509,7.916394,8.370509,2189800.0,8.11246,0.25804899999999975,0
29,8.453045,8.481428,8.055695,8.11246,1336500.0,8.11246,0.0,1
30,8.150303,8.339516999999999,8.065156,8.11246,1635100.0,7.902794999999999,0.2096650000000011,0
31,8.167696000000001,8.167696000000001,7.694659,7.902794999999999,1472600.0,7.935053999999999,-0.032258999999999816,1
32,7.9918190000000005,8.218876,7.802604,7.935053999999999,1964600.0,8.064074,-0.12902000000000058,1
33,8.158682,8.376278999999998,7.912702,8.064074,1583200.0,7.725382000000001,0.3386919999999991,0
34,8.879592,8.879592,7.706460000000001,7.725382000000001,2093900.0,7.572164999999999,0.1532170000000015,0
35,7.628928999999999,7.676233,7.335647,7.572164999999999,1776300.0,7.1528339999999995,0.4193309999999997,0
36,7.578567,7.644792,6.944697,7.1528339999999995,1909500.0,7.378628999999999,-0.22579499999999975,1
37,7.208336,7.463775999999999,7.208336,7.378628999999999,1268900.0,7.402819999999999,-0.024191000000000074,1
38,7.402819999999999,7.516349000000001,7.289289999999999,7.402819999999999,559700.0,7.354437,0.0483829999999994,0
39,7.4774270000000005,7.515269,7.316594,7.354437,1234800.0,7.338305999999999,0.01613100000000056,0
40,7.338305999999999,7.338305999999999,7.168013,7.338305999999999,924700.0,7.410883999999999,-0.07257800000000003,1
41,7.23113,7.6379410000000005,7.23113,7.410883999999999,707200.0,7.668932000000001,-0.2580480000000014,1
42,7.413492,7.848686,7.39457,7.668932000000001,966000.0,7.73345,-0.06451799999999963,1
43,7.84698,7.884822,7.695608,7.73345,900100.0,8.515663,-0.7822129999999996,1
44,7.891253999999999,8.525122999999999,7.891253999999999,8.515663,4273100.0,8.846291,-0.3306280000000008,1
45,8.685459,8.931438,8.448939999999999,8.846291,3887000.0,8.394699000000001,0.45159199999999977,0
46,8.9245,8.9245,8.366317,8.394699000000001,1661200.0,7.983433,0.41126600000000124,0
47,8.551077000000001,8.551077000000001,7.936128999999999,7.983433,1721300.0,7.749575999999999,0.23385700000000043,0
48,8.042859,8.099623,7.181932000000001,7.749575999999999,2244300.0,7.427011,0.3225649999999991,0
49,7.41755,7.786517999999999,7.285099000000001,7.427011,1124600.0,7.209281,0.21773000000000042,0
50,7.455260000000001,7.597171,7.143056,7.209281,1664400.0,7.257667999999999,-0.04838699999999907,1
51,7.210364,7.352275,7.068453,7.257667999999999,1058000.0,7.386692,-0.12902400000000114,1
52,7.23532,7.452917,7.23532,7.386692,702900.0,7.491522,-0.10482999999999976,1
53,7.387455,7.907795,7.387455,7.491522,1352100.0,7.177025,0.31449699999999936,0
54,7.640602,7.640602,7.177025,7.177025,1084500.0,6.935103,0.24192200000000064,0
