,Open,High,Low,Close,Volume,Next Day Close,Differnece,Difference,ClassLabel
0,19.600026999999997,19.725026999999997,17.412526999999997,17.912526999999997,1731600.0,19.138329000000002,1.225802,-1.2258020000000052,1
1,16.763329000000002,19.138329000000002,16.450829000000002,19.138329000000002,2633400.0,19.138329000000002,0.0,0.0,1
2,18.888329000000002,20.638329000000002,18.763329000000002,19.138329000000002,2874200.0,18.980164000000002,-0.158165,0.15816500000000033,0
3,19.105164000000002,19.292664000000002,18.605164000000002,18.980164000000002,1337100.0,18.821989000000002,-0.158175,0.15817499999999995,0
4,18.821989000000002,19.259489000000002,18.509489000000002,18.821989000000002,889000.0,18.821989000000002,0.0,0.0,1
5,18.071989000000002,18.946989000000002,17.759489000000002,18.821989000000002,1995200.0,18.505663000000002,-0.316326,0.3163260000000001,0
6,18.818163000000002,18.943163000000002,18.255663000000002,18.505663000000002,1247300.0,18.5452,0.039537,-0.03953699999999927,1
7,18.6077,18.8577,17.8577,18.5452,1296600.0,18.861538,0.316338,-0.31633799999999823,1
8,17.674038,19.049038,17.674038,18.861538,1778400.0,20.166424,1.304886,-1.3048859999999998,1
9,17.978924,20.353924,17.853924,20.166424,2995600.0,20.957268,0.790844,-0.7908439999999999,1
10,20.707268,21.832268,20.019768,20.957268,2946100.0,20.799093,-0.158175,0.15817499999999995,0
11,21.174093,21.236593,19.736593,20.799093,2684100.0,19.612835,-1.186258,1.1862579999999987,0
12,20.862835,20.925335,19.175335,19.612835,1671700.0,20.87818,1.2653450000000002,-1.265345,1
13,18.87818,20.87818,18.25318,20.87818,1890500.0,21.392225,0.514045,-0.5140449999999994,1
14,20.579725,22.017225,19.892225,21.392225,2514900.0,21.352682,-0.039543,0.03954299999999833,0
15,21.477682,22.540182,21.352682,21.352682,2339600.0,20.720007,-0.632675,0.6326750000000025,0
16,20.720007,21.345007,20.407507,20.720007,2095300.0,20.917717,0.19771,-0.19771000000000072,1
17,20.355217,20.917717,20.292717,20.917717,1274700.0,21.099609,0.181892,-0.18189200000000127,1
18,20.54961,21.359612,19.749610999999998,21.099609,1112800.0,20.625107,-0.47450200000000003,0.4745020000000011,0
19,21.22511,21.425110999999998,19.955109,20.625107,1435700.0,20.409998,-0.21510900000000002,0.21510899999999822,0
20,19.850001000000002,20.749998,19.699999,20.409998,1198300.0,20.030394,-0.379604,0.3796040000000005,0
21,21.070395,21.070395,19.860394,20.030394,965200.0,19.45467,-0.575724,0.575724000000001,0
22,20.374670000000002,20.52467,19.424669,19.45467,1471200.0,20.688382999999998,1.2337129999999998,-1.233712999999998,1
23,18.388382,21.078382,18.308382,20.688382999999998,2318300.0,20.644091,-0.044292000000000005,0.044291999999998666,0
24,20.714091,21.26409,19.85409,20.644091,1590500.0,21.346355,0.702264,-0.7022639999999996,1
25,20.106353,22.106353,20.006355,21.346355,2283800.0,21.162886,-0.183469,0.18346899999999877,0
26,21.612887,22.412886,21.052885,21.162886,1757700.0,20.764298999999998,-0.39858699999999997,0.3985870000000027,0
27,21.044297,21.044297,20.3943,20.764298999999998,1381800.0,20.644091,-0.120208,0.1202079999999981,0
28,20.83409,21.01409,20.414092,20.644091,957600.0,20.074684,-0.569407,0.5694069999999982,0
29,20.544685,20.844684,19.944684,20.074684,1181800.0,19.739372,-0.335312,0.33531200000000183,0
30,20.389371,20.529370999999998,19.179370000000002,19.739372,1269300.0,20.144282999999998,0.404911,-0.40491099999999847,1
31,19.504284,20.764282,19.404283,20.144282999999998,2197600.0,20.517554999999998,0.373272,-0.37327200000000005,1
32,19.927554999999998,20.897555999999998,19.717554,20.517554999999998,1846200.0,20.846548000000002,0.328993,-0.3289930000000041,1
33,20.446545999999998,22.796549,20.396547,20.846548000000002,2120300.0,20.37204,-0.474508,0.4745080000000037,0
34,20.922039,21.022037,20.182037,20.37204,816000.0,19.740477,-0.631563,0.6315629999999999,0
35,20.640477,20.740475,19.550476999999997,19.740477,1124200.0,19.048601,-0.691876,0.691875999999997,0
36,20.038601,20.128601,17.888601,19.048601,1948400.0,19.682389999999998,0.633789,-0.6337889999999966,1
37,19.182389999999998,19.78239,19.05239,19.682389999999998,1344900.0,20.860779,1.178389,-1.1783890000000028,1
38,19.860779,21.610779,19.860779,20.860779,2468500.0,21.236589000000002,0.37581,-0.3758100000000013,1
39,20.656587,21.406587,20.496586999999998,21.236589000000002,2037500.0,20.548664000000002,-0.687925,0.6879249999999999,0
40,21.688668,21.688668,20.088665,20.548664000000002,1387900.0,19.905327,-0.6433369999999999,0.6433370000000025,0
41,19.955326,20.375326,19.355328,19.905327,1783400.0,19.421229999999998,-0.484097,0.484097000000002,0
42,20.531229999999997,20.75123,19.231229000000003,19.421229999999998,1222200.0,19.828889999999998,0.40765999999999997,-0.4076599999999999,1
43,20.698891,20.698891,19.65889,19.828889999999998,875800.0,19.586842,-0.242048,0.24204799999999693,0
44,19.986842000000003,20.036843,19.356842,19.586842,1589500.0,19.427605,-0.159237,0.15923700000000096,0
45,19.677605,19.867606,19.197605,19.427605,1916900.0,19.140957,-0.286648,0.28664799999999957,0
46,19.390957,19.550957,19.050957,19.140957,1369400.0,17.465734,-1.675223,1.675222999999999,0
47,19.295734,19.645734,17.315734,17.465734,2667400.0,18.039007,0.5732729999999999,-0.5732730000000004,1
48,17.129007,18.219007,17.129007,18.039007,1811300.0,16.956158,-1.082849,1.082849000000003,0
49,16.336157,18.086157,15.836157,16.956158,3159400.0,17.809696,0.8535379999999999,-0.8535380000000004,1
